,title,genres,production_companies,vote_average,revenue,release_year,release_month,cast_number,first_cast_gender,second_cast_gender,duration,cast_total_facebook_likes,content_rating,budget,imdb_score,movie_facebook_likes,Action_index,Adventure_index,Fantasy_index,Sci-Fi_index,Thriller_index,Romance_index,Animation_index,Comedy_index,Family_index,Musical_index,Mystery_index,Western_index,Drama_index,History_index,Sport_index,Crime_index,Horror_index,War_index,Biography_index,Music_index,Documentary_index,Film-Noir_index,War_ohe,Biography_ohe,Thriller_ohe,Sci-Fi_ohe,Sport_ohe,Crime_ohe,Documentary_ohe,Musical_ohe,Comedy_ohe,Animation_ohe,Horror_ohe,Action_ohe,Western_ohe,Fantasy_ohe,Adventure_ohe,History_ohe,Mystery_ohe,Drama_ohe,Music_ohe,Film-Noir_ohe,Romance_ohe,Family_ohe
875,Catch Me If You Can,"['Biography', 'Crime', 'Drama']",Kemp Company|Splendid Pictures|ParkesMacDonald Productions,7.7,352114312,2002,12,103,2,2,141,48153,PG-13,52000000,8.0,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
876,Zero Dark Thirty,"['Drama', 'History', 'Thriller']",Columbia Pictures|Annapurna Pictures|First Light Production,6.7,132820716,2012,12,19,1,2,157,2759,R,40000000,7.4,39000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
877,The Break-Up,"['Comedy', 'Drama', 'Romance']",Universal Pictures|Mosaic Media Group|Wild West Picture Show Productions,5.6,204999686,2006,6,18,2,1,106,8315,PG-13,52000000,5.8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
878,Mamma Mia!,"['Comedy', 'Family', 'Musical', 'Romance']",Universal Pictures|Internationale Filmproduktion Richter|Playtone|Relativity Media|Littlestar,6.4,609841637,2008,7,14,1,2,108,26002,PG-13,52000000,6.3,10000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])"
879,Valentine's Day,"['Comedy', 'Romance']",New Line Cinema|Karz Entertainment|Rice Films,5.7,216485654,2010,2,14,1,1,125,45696,PG-13,52000000,5.7,9000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
880,The Dukes of Hazzard,"['Action', 'Adventure', 'Comedy']",Village Roadshow Pictures|Gerber Pictures|Warner Bros.|WV Films III,5.1,110803676,2005,8,72,2,2,107,2297,PG-13,50000000,5.1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
881,The Thin Red Line,"['Drama', 'War']",Fox 2000 Pictures|Phoenix Pictures|Geisler-Roberdeau,7.2,98126565,1998,12,20,2,2,215,1937,R,52000000,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
882,The Change-Up,"['Comedy', 'Fantasy']",Universal Pictures|Original Film|Relativity Media|Big Kid Pictures,5.9,75450437,2011,8,41,1,2,118,28045,R,52000000,6.4,13000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
883,Man on the Moon,"['Biography', 'Comedy', 'Drama']",Mutual Film Company,6.9,47434430,1999,12,19,2,1,118,209,R,52000000,7.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
884,Casino,"['Biography', 'Crime', 'Drama']",Universal Pictures|Légende Entreprises|Syalis DA|De Fina-Cappa,7.8,116112375,1995,11,10,2,1,178,24183,R,52000000,8.2,11000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
885,From Paris with Love,"['Action', 'Thriller']",Apipoulaï|M6 Films|Canal+|TPS Star|Grive Productions|EuropaCorp|M6|W9,6.1,52826594,2010,2,67,2,2,92,488,R,52000000,6.5,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
886,Bulletproof Monk,"['Action', 'Comedy', 'Fantasy']",Metro-Goldwyn-Mayer (MGM),5.1,0,2003,3,11,2,1,104,2422,PG-13,52000000,5.5,846,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
887,"Me, Myself & Irene",['Comedy'],Twentieth Century Fox Film Corporation|Conundrum Entertainment,6.1,149270999,2000,6,103,2,1,116,1711,R,51000000,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
888,Barnyard,"['Animation', 'Comedy', 'Family']",Paramount Pictures|Nickelodeon Movies|Paramount Animation,5.3,72779000,2006,8,20,1,2,90,2055,PG,51000000,5.6,605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])"
889,The Twilight Saga: New Moon,"['Adventure', 'Drama', 'Fantasy', 'Romance']",Summit Entertainment|Maverick Films|Imprint Entertainment|Sunswept Entertainment|Temple Hill Entertainment,5.6,709827462,2009,3,26,1,2,130,64040,PG-13,50000000,4.6,13000,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
890,Shrek,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",DreamWorks SKG|Pacific Data Images (PDI)|DreamWorks Animation,7.3,484409218,2001,5,76,2,2,90,275,PG,60000000,7.9,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])"
891,The Adjustment Bureau,"['Romance', 'Sci-Fi', 'Thriller']",Universal Pictures|Media Rights Capital|Gambit Pictures|Electric Shepherd Productions,6.5,127869379,2011,3,64,2,1,106,14607,PG-13,50200000,7.1,36000,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
892,Robin Hood: Prince of Thieves,"['Action', 'Adventure', 'Drama', 'Romance']",Warner Bros.|Morgan Creek Productions,6.6,390493908,1991,6,9,2,2,155,38518,PG-13,48000000,6.9,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
893,Jerry Maguire,"['Comedy', 'Drama', 'Romance', 'Sport']",Gracie Films|TriStar Pictures,6.7,273552592,1996,12,9,2,2,139,12182,R,50000000,7.3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
894,Ted,"['Comedy', 'Fantasy']",Universal Pictures|Media Rights Capital|Fuzzy Door Productions,6.3,549368315,2012,6,83,2,1,112,21773,R,50000000,7.0,74000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
895,As Good as It Gets,"['Comedy', 'Drama', 'Romance']",Gracie Films|TriStar Pictures,7.2,314178011,1997,12,35,2,1,139,1474,PG-13,50000000,7.7,11000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
896,Patch Adams,"['Biography', 'Comedy', 'Drama', 'Romance']",Universal Pictures|Bungalow 78 Productions|Blue Wolf|FarrellMinoff,7,202292902,1998,12,54,2,2,115,74382,PG-13,50000000,6.7,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
897,Anchorman 2: The Legend Continues,['Comedy'],Paramount Pictures|Gary Sanchez Productions|Apatow Productions,6,173649015,2013,12,8,2,2,143,28176,PG-13,50000000,6.3,41000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
898,Mr. Deeds,"['Comedy', 'Romance']",New Line Cinema|Columbia Pictures Corporation|Out of the Blue... Entertainment|Happy Madison Productions,5.6,171269535,2002,6,12,2,1,96,26826,PG-13,50000000,5.8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
899,Super 8,"['Mystery', 'Sci-Fi', 'Thriller']",Paramount Pictures|Amblin Entertainment|Bad Robot|KO Camera Toys,6.6,260095987,2011,6,18,2,1,112,3388,PG-13,50000000,7.1,37000,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
900,How to Lose a Guy in 10 Days,"['Comedy', 'Romance']",Paramount Pictures,6.3,177371441,2003,2,11,1,2,116,14087,PG-13,50000000,6.4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
901,22 Jump Street,"['Action', 'Comedy', 'Crime']",Columbia Pictures|Original Film|Media Rights Capital|Metro-Goldwyn-Mayer (MGM)|Cannell Studios|LStar Capital|33andOut Productions|JHF Productions,7,188441614,2014,6,34,2,2,112,19428,R,50000000,7.1,24000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
902,Yes Man,"['Comedy', 'Romance']",Village Roadshow Pictures|The Zanuck Company|Heyday films|Warner Bros.,6.4,225990978,2008,12,39,2,1,104,29505,PG-13,70000000,6.8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
903,Central Intelligence,"['Action', 'Comedy', 'Crime']",New Line Cinema|Universal Pictures|Bluegrass Films|Principato-Young Entertainment,6.2,216972543,2016,6,64,2,2,107,14569,PG-13,50000000,6.6,10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
904,Stepmom,"['Comedy', 'Drama']",Columbia Pictures|1492 Pictures,6.9,0,1998,12,36,1,1,124,9988,PG-13,50000000,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
